title,link,published,description,source,source sub-category,id
'This was a shocker of a wicket' - Hardik Pandya critical of Lucknow pitch,https://www.espncricinfo.com/ci/content/story/1356493.html?ex_cid=OTC-RSS,"Mon, 30 Jan 2023 10:10:28","Gambhir, Neesham also echo India captain's thoughts; Bracewell reckons it wasn't a bad advertisement for T20s",espncricinfo,espncricinfo India,https://www.espncricinfo.com/ci/content/story/1356493.html
"Shafali 'not going to be satisfied', sets sights on senior World Cup",https://www.espncricinfo.com/ci/content/story/1356486.html?ex_cid=OTC-RSS,"Sun, 29 Jan 2023 19:16:13",India's captain also revealed how the pain of Melbourne 2020 spurred her on in this tournament,espncricinfo,espncricinfo India,https://www.espncricinfo.com/ci/content/story/1356486.html
Suryakumar helps India draw level in Lucknow spin-fest,https://www.espncricinfo.com/ci/content/story/1356415.html?ex_cid=OTC-RSS,"Mon, 30 Jan 2023 17:33:06","Defending a mere 99, New Zealand's bowlers stretched the game to its penultimate ball",espncricinfo,espncricinfo India,https://www.espncricinfo.com/ci/content/story/1356415.html
Persistent rain washes out dress rehearsal for final,https://www.espncricinfo.com/ci/content/story/1356325.html?ex_cid=OTC-RSS,"Sat, 28 Jan 2023 19:57:59",Only two overs were bowled before the heavens opened,espncricinfo,espncricinfo India,https://www.espncricinfo.com/ci/content/story/1356325.html
Pressure on India as New Zealand look to seal the series in Lucknow,https://www.espncricinfo.com/ci/content/story/1356311.html?ex_cid=OTC-RSS,"Sun, 29 Jan 2023 12:34:04",The focus will be on India's top order with Prithvi Shaw waiting in the wings,espncricinfo,espncricinfo India,https://www.espncricinfo.com/ci/content/story/1356311.html
Mithali Raj roped in as mentor and advisor of WPL team Gujarat Giants,https://www.espncricinfo.com/ci/content/story/1356305.html?ex_cid=OTC-RSS,"Fri, 24 Feb 2023 13:59:02",The world's most prolific run-scorer in women's cricket joins the Ahmedabad-based franchise for the inaugural season of WPL,espncricinfo,espncricinfo India,https://www.espncricinfo.com/ci/content/story/1356305.html
"Hardik, Santner express 'shock' and 'surprise' at Ranchi pitch",https://www.espncricinfo.com/ci/content/story/1356216.html?ex_cid=OTC-RSS,"Sat, 28 Jan 2023 16:20:38",The two captains were surprised by the new ball offering more turn and how much it spun in the second innings,espncricinfo,espncricinfo India,https://www.espncricinfo.com/ci/content/story/1356216.html
India to face England in Women's U-19 T20 World Cup final,https://www.espncricinfo.com/ci/content/story/1356157.html?ex_cid=OTC-RSS,"Sat, 28 Jan 2023 09:23:19","India spun out New Zealand, before England edged out Australia in a nail-biter",espncricinfo,espncricinfo India,https://www.espncricinfo.com/ci/content/story/1356157.html
Daryl Mitchell and Mitchell Santner give New Zealand 1-0 lead in T20Is,https://www.espncricinfo.com/ci/content/story/1356107.html?ex_cid=OTC-RSS,"Sat, 28 Jan 2023 04:52:17","Spin was the way to go on the night, and the visitors got it right",espncricinfo,espncricinfo India,https://www.espncricinfo.com/ci/content/story/1356107.html
Ravindra Jadeja 'hopefully good to go now' for India vs Australia Tests,https://www.espncricinfo.com/ci/content/story/1355961.html?ex_cid=OTC-RSS,"Thu, 26 Jan 2023 16:26:48",He picked up seven wickets in the second innings - and bowled 41.1 overs in the match - in his comeback from knee surgery,espncricinfo,espncricinfo India,https://www.espncricinfo.com/ci/content/story/1355961.html
Pandya resumes T20I captaincy as New Zealand seek first win of tour,https://www.espncricinfo.com/ci/content/story/1355934.html?ex_cid=OTC-RSS,"Thu, 26 Jan 2023 12:57:11","Gill and Kishan are set to open for India, as Shaw bides his time and Gaikwad is ruled out of the series with a wrist injury",espncricinfo,espncricinfo India,https://www.espncricinfo.com/ci/content/story/1355934.html
"Women's U-19 World Cup: India, England, Australia and New Zealand's road to the semi-finals",https://www.espncricinfo.com/ci/content/story/1355897.html?ex_cid=OTC-RSS,"Thu, 26 Jan 2023 06:05:48","As the battle for the first junior women's T20 title heats up, here's a run-through of what each contender has going for them",espncricinfo,espncricinfo India,https://www.espncricinfo.com/ci/content/story/1355897.html
Who are the two new Women's Premier League team owners?,https://www.espncricinfo.com/ci/content/story/1355869.html?ex_cid=OTC-RSS,"Wed, 25 Jan 2023 18:33:42","The lowdown on Adani Sportsline and Capri Global, who own teams based out of Ahmedabad and Lucknow",espncricinfo,espncricinfo India,https://www.espncricinfo.com/ci/content/story/1355869.html
WPL set to be played from March 4 to 24; IPL final likely on May 28,https://www.espncricinfo.com/ci/content/story/1355856.html?ex_cid=OTC-RSS,"Wed, 25 Jan 2023 13:27:09",WPL player auction expected to take place in first week of February,espncricinfo,espncricinfo India,https://www.espncricinfo.com/ci/content/story/1355856.html
"Owners of Mumbai Indians, Delhi Capitals, RCB win bids to own Women's Premier League teams",https://www.espncricinfo.com/ci/content/story/1355823.html?ex_cid=OTC-RSS,"Thu, 26 Jan 2023 07:51:15","The Adani Group and Capri Global buy the other two WPL teams; Mumbai, Delhi, Bengaluru, Ahmedabad and Lucknow to be home venues",espncricinfo,espncricinfo India,https://www.espncricinfo.com/ci/content/story/1355823.html
Men's ODI rankings: Siraj is the new No. 1 bowler; Gill overtakes Kohli on batters' table,https://www.espncricinfo.com/ci/content/story/1355816.html?ex_cid=OTC-RSS,"Wed, 25 Jan 2023 14:41:48","Rohit Sharma, Mohammed Shami, Hardik Pandya, Kuldeep Yadav are the other Indians to move up after their series sweep over New Zealand",espncricinfo,espncricinfo India,https://www.espncricinfo.com/ci/content/story/1355816.html
"Rohit wary about rushing Bumrah back, hopeful fast bowler will play last two Australia Tests",https://www.espncricinfo.com/ci/content/story/1355756.html?ex_cid=OTC-RSS,"Wed, 25 Jan 2023 06:22:25",The India captain also responds to rhetoric around his form after scoring his first ODI hundred in three years,espncricinfo,espncricinfo India,https://www.espncricinfo.com/ci/content/story/1355756.html
Renshaw ready for Ashwin test if opportunity comes in India,https://www.espncricinfo.com/ci/content/story/1355750.html?ex_cid=OTC-RSS,"Wed, 25 Jan 2023 00:54:46",The left hander believes that lbw is the biggest danger facing the offspinner,espncricinfo,espncricinfo India,https://www.espncricinfo.com/ci/content/story/1355750.html
"Stokes, Babar and Buttler named captains of ICC teams of 2022",https://www.espncricinfo.com/ci/content/story/1355558.html?ex_cid=OTC-RSS,"Tue, 24 Jan 2023 13:30:38","Smriti Mandhana, Beth Mooney, Sophie Ecclestone and Renuka Singh figure in both women's white-ball XIs for the year gone by",espncricinfo,espncricinfo India,https://www.espncricinfo.com/ci/content/story/1355558.html
Seven IPL team owners among 17 entities to bid for women's IPL teams,https://www.espncricinfo.com/ci/content/story/1355523.html?ex_cid=OTC-RSS,"Wed, 25 Jan 2023 00:42:28","The auction will take place in Mumbai on Wednesday, and the winners will be determined through a closed-bid process",espncricinfo,espncricinfo India,https://www.espncricinfo.com/ci/content/story/1355523.html
Rohit and Gill outdo Conway as India go No. 1 with 3-0 win,https://www.espncricinfo.com/ci/content/story/1355482.html?ex_cid=OTC-RSS,"Wed, 25 Jan 2023 03:22:46",A three-wicket burst from Thakur proved crucial after the three openers scored tons in an Indore run-fest,espncricinfo,espncricinfo India,https://www.espncricinfo.com/ci/content/story/1355482.html
